Year,Month,Domestic,International,Total,origin
2002,10,6875,0,6875,DEN
2002,11,6295,0,6295,DEN
2002,12,8679,0,8679,DEN
2002,TOTAL,71275,0,71275,DEN
2003,1,6185,0,6185,DEN
2003,2,5610,0,5610,DEN
2003,3,7138,0,7138,DEN
2003,4,7873,0,7873,DEN
2003,5,12767,0,12767,DEN
2003,6,18472,0,18472,DEN
2003,7,21036,0,21036,DEN
2003,8,19923,0,19923,DEN
2003,9,12146,0,12146,DEN
2003,10,12570,0,12570,DEN
2003,11,13370,0,13370,DEN
2003,12,15670,0,15670,DEN
2003,TOTAL,152760,0,152760,DEN
2004,1,13929,0,13929,DEN
2004,2,13464,0,13464,DEN
2004,3,16146,0,16146,DEN
2004,4,13684,0,13684,DEN
2004,5,17105,0,17105,DEN
2004,6,24376,0,24376,DEN
2004,7,27326,0,27326,DEN
2004,8,22945,0,22945,DEN
2004,9,16084,0,16084,DEN
2004,10,14433,0,14433,DEN
2004,11,15616,0,15616,DEN
2004,12,17331,0,17331,DEN
2004,TOTAL,212439,0,212439,DEN
2005,1,12460,0,12460,DEN
2005,2,13027,0,13027,DEN
2005,3,16871,0,16871,DEN
2005,4,15777,0,15777,DEN
2005,5,18554,0,18554,DEN
2005,6,20869,0,20869,DEN
2005,7,25704,0,25704,DEN
2005,8,24792,0,24792,DEN
2005,9,17867,0,17867,DEN
2005,10,15531,0,15531,DEN
2005,11,16265,0,16265,DEN
2005,12,17607,0,17607,DEN
2005,TOTAL,215324,0,215324,DEN
2006,1,13467,0,13467,DEN
2006,2,11918,0,11918,DEN
2006,3,18013,0,18013,DEN
2006,4,19430,0,19430,DEN
2006,5,19810,0,19810,DEN
2006,6,26123,0,26123,DEN
2006,7,28229,0,28229,DEN
2006,8,26225,0,26225,DEN
2006,9,19115,0,19115,DEN
2006,10,17335,0,17335,DEN
2006,11,16419,0,16419,DEN
2006,12,15985,0,15985,DEN
2006,TOTAL,232069,0,232069,DEN
2007,1,13990,0,13990,DEN
2007,2,12798,0,12798,DEN
2007,3,17689,0,17689,DEN
2007,4,18884,0,18884,DEN
2007,5,22970,0,22970,DEN
2007,6,26586,0,26586,DEN
2007,7,27941,0,27941,DEN
2007,8,26755,0,26755,DEN
2007,9,20001,0,20001,DEN
2007,10,18772,0,18772,DEN
2007,11,18656,0,18656,DEN
2007,12,19512,0,19512,DEN
2007,TOTAL,244554,0,244554,DEN
2008,1,16539,0,16539,DEN
2008,2,16623,0,16623,DEN
2008,3,19615,0,19615,DEN
2008,4,18995,0,18995,DEN
2008,5,23021,0,23021,DEN
2008,6,24783,0,24783,DEN
2008,7,27469,0,27469,DEN
2008,8,25237,0,25237,DEN
2008,9,20538,0,20538,DEN
2008,10,20176,0,20176,DEN
2008,11,17208,0,17208,DEN
2008,12,17990,0,17990,DEN
2008,TOTAL,248194,0,248194,DEN
2009,1,13662,0,13662,DEN
2009,2,12670,0,12670,DEN
2009,3,16455,0,16455,DEN
2009,4,17470,0,17470,DEN
2009,5,23768,0,23768,DEN
2009,6,27421,0,27421,DEN
2009,7,29464,0,29464,DEN
2009,8,25289,0,25289,DEN
2009,9,17361,0,17361,DEN
2009,10,17307,0,17307,DEN
2009,11,14536,0,14536,DEN
2009,12,14737,0,14737,DEN
2009,TOTAL,230140,0,230140,DEN
2010,1,13259,0,13259,DEN
2010,2,12506,0,12506,DEN
2010,3,15172,0,15172,DEN
2010,4,14877,0,14877,DEN
2010,5,19199,0,19199,DEN
2010,6,23706,0,23706,DEN
2010,7,27877,0,27877,DEN
2010,8,24626,0,24626,DEN
2010,9,14507,0,14507,DEN
2010,10,12185,0,12185,DEN
2010,11,11589,0,11589,DEN
2010,12,11610,0,11610,DEN
2010,TOTAL,201113,0,201113,DEN
2011,1,10641,0,10641,DEN
2011,2,8883,0,8883,DEN
2011,3,11424,0,11424,DEN
2011,4,10661,0,10661,DEN
2011,5,12437,0,12437,DEN
2011,6,20095,0,20095,DEN
2011,7,24811,0,24811,DEN
2011,8,21454,0,21454,DEN
2011,9,12506,0,12506,DEN
2011,10,12545,0,12545,DEN
2011,11,11557,0,11557,DEN
2011,12,12195,0,12195,DEN
2011,TOTAL,169209,0,169209,DEN
2012,1,11907,0,11907,DEN
2012,2,10532,0,10532,DEN
2012,3,12019,0,12019,DEN
2012,4,11382,0,11382,DEN
2012,5,13404,0,13404,DEN
2012,6,18196,0,18196,DEN
2012,7,22730,0,22730,DEN
2012,8,22052,0,22052,DEN
2012,9,14523,0,14523,DEN
2012,10,12113,0,12113,DEN
2012,11,12403,0,12403,DEN
2012,12,13531,0,13531,DEN
2012,TOTAL,174792,0,174792,DEN
2013,1,13054,0,13054,DEN
2013,2,11063,0,11063,DEN
2013,3,13153,0,13153,DEN
2013,4,14239,0,14239,DEN
2013,5,14721,0,14721,DEN
2013,6,22380,0,22380,DEN
2013,7,25321,0,25321,DEN
2013,8,23630,0,23630,DEN
2013,9,14696,0,14696,DEN
2013,10,14237,0,14237,DEN
2013,11,13506,0,13506,DEN
2013,12,14289,0,14289,DEN
2013,TOTAL,194289,0,194289,DEN
2014,1,13858,0,13858,DEN
2014,2,12945,0,12945,DEN
2014,3,14721,0,14721,DEN
2014,4,16566,0,16566,DEN
2014,5,16635,0,16635,DEN
2014,6,19823,0,19823,DEN
2014,7,22077,0,22077,DEN
2014,8,21493,0,21493,DEN
2014,9,17741,0,17741,DEN
2014,10,14374,0,14374,DEN
2014,11,12483,0,12483,DEN
2014,12,14928,0,14928,DEN
2014,TOTAL,197644,0,197644,DEN
2015,1,14935,0,14935,DEN
2015,2,13691,0,13691,DEN
2015,3,17977,0,17977,DEN
2015,4,17712,0,17712,DEN
2015,5,21835,0,21835,DEN
2015,6,24796,0,24796,DEN
2015,7,28001,0,28001,DEN
2015,8,24650,0,24650,DEN
2015,9,19460,0,19460,DEN
2015,10,15613,0,15613,DEN
2015,11,14538,0,14538,DEN
2015,12,15423,0,15423,DEN
2015,TOTAL,228631,0,228631,DEN
2016,1,15252,0,15252,DEN
2016,2,14485,0,14485,DEN
2016,3,17263,0,17263,DEN
2016,4,17739,0,17739,DEN
2016,5,20777,0,20777,DEN
2016,6,26399,0,26399,DEN
2016,7,29128,0,29128,DEN
2016,8,29435,0,29435,DEN
2016,9,17867,0,17867,DEN
2016,10,17569,0,17569,DEN
2016,11,16886,0,16886,DEN
2016,12,17886,0,17886,DEN
2016,TOTAL,240686,0,240686,DEN
2017,1,17101,0,17101,DEN
2017,2,15543,0,15543,DEN
2017,3,21443,0,21443,DEN
2017,4,21291,0,21291,DEN
2017,5,23184,0,23184,DEN
2017,6,26216,0,26216,DEN
2017,7,26261,0,26261,DEN
2017,8,25844,0,25844,DEN
2017,9,21483,0,21483,DEN
2017,10,19098,0,19098,DEN
2017,11,18085,0,18085,DEN
2017,12,18566,0,18566,DEN
2017,TOTAL,254115,0,254115,DEN
2018,1,18187,0,18187,DEN
2018,2,16934,0,16934,DEN
2018,3,21788,0,21788,DEN
2018,4,28630,0,28630,DEN
2018,5,31963,0,31963,DEN
2018,6,29167,0,29167,DEN
2018,7,28485,0,28485,DEN
2018,8,26869,0,26869,DEN
2018,9,21740,0,21740,DEN
2018,10,18351,0,18351,DEN
2018,11,17370,0,17370,DEN
2018,12,17590,0,17590,DEN
2018,TOTAL,277074,0,277074,DEN
2019,1,18737,0,18737,DEN
2019,2,17371,0,17371,DEN
